COG0597	3.4.23.36
COG0599	4.1.1.44
COG0600	1.14.14.5
COG0601	2.4.2.7
COG0602	4.3.99.3
COG0603	6.3.4.20
COG0604	1.6.5.5
COG0605	1.15.1.1
COG0607	2.8.1.1
COG0608	3.1.-.-
COG0609	3.6.3.34
COG0610	3.1.21.3
COG0611	2.7.4.16
COG0616	3.4.21.-
COG0619	3.6.3.-
COG0620	2.1.1.14
COG0621	2.-.-.-
COG0625	2.5.1.18
COG0627	3.1.2.12
COG0628	6.3.2.6
COG0631	3.1.3.16
COG0632	3.6.4.12
COG0633	4.6.1.1
COG0634	2.4.2.8
COG0635	1.3.99.22
COG0636	3.6.3.14
COG0638	3.4.25.1
COG0639	3.1.3.16
COG0640	4.2.3.1
COG0642	2.7.13.3
COG0643	2.7.13.3
COG0644	1.5.5.1
COG0645	2.7.1.12
COG0646	2.1.1.13
COG0647	3.1.3.41
COG0648	3.1.21.2
COG0649	1.6.5.3
COG0650	1.6.5.3
COG0651	1.-.-.-
COG0652	5.2.1.8
COG0656	1.1.1.274
COG0659	4.2.1.1
COG0661	2.6.1.-
COG0661	1.14.99.22
COG0662	2.7.7.13
COG0663	2.3.1.-
COG0664	3.1.1.5
COG0668	5.4.2.1
COG0669	2.7.7.3
COG0672	4.2.1.2
COG0673	1.1.1.18
COG0676	5.1.3.15
COG0678	1.11.1.15
COG0679	2.7.1.32
COG0680	3.4.24.-
COG0681	3.4.21.89
COG0682	2.-.-.-
COG0683	2.7.10.-
COG0684	4.1.3.17
COG0685	1.5.1.20
COG0686	1.4.1.1
COG0688	4.1.1.65
COG0689	2.7.7.56
COG0692	3.2.2.27
COG0693	3.2.-.-
COG0694	3.1.3.16
COG0696	5.4.2.1
COG0698	5.3.1.6
COG0699	3.6.5.5
COG0703	2.7.1.71
COG0705	3.4.21.105
COG0707	2.4.1.227
COG0708	3.1.11.2
COG0709	2.7.9.3
COG0710	4.2.1.10
COG0711	3.6.3.14
COG0712	3.6.3.14
COG0713	1.6.5.3
COG0714	3.6.3.-
COG0715	3.6.3.-
COG0716	1.8.1.2
COG0717	3.5.4.13
COG0720	4.2.3.12
